"Item","Total","Cards","PCPs","Nephs","Endos","Lipids","HCP","NP/PA","Higher","Lower","Tier 1","Tier 2","Tier 3","Tier 4","Segment A","Segment B","Segment C","Segment D","Priority Account","Non-Priority Account"
"Repatha","3 (2%)","0 (0%)","2 (4%)","0 (0%)","0 (0%)","0 (0%)","3 (2.1%)","0 (0%)","1 (1.3%)","2 (2.7%)","0 (0%)","2 (2.6%)","1 (2.9%)","0 (0%)","0 (0%)","1 (3.6%)","1 (3.6%)","1 (2.2%)","1 (0.9%)","2 (5.1%)"
"Praluent","15 (9.9%)","0 (0%)","5 (10%)","0 (0%)","1 (10%)","0 (0%)","15 (10.5%)","0 (0%)","9 (11.8%)","6 (8%)","2 (5.9%)","7 (9.2%)","5 (14.3%)","1 (16.7%)","3 (6.1%)","2 (7.1%)","2 (7.1%)","8 (17.8%)","10 (8.9%)","5 (12.8%)"
"Leqvio","11 (7.3%)","0 (0%)","4 (8%)","0 (0%)","1 (10%)","0 (0%)","10 (7%)","0 (0%)","7 (9.2%)","4 (5.3%)","2 (5.9%)","5 (6.6%)","2 (5.7%)","2 (33.3%)","2 (4.1%)","1 (3.6%)","2 (7.1%)","6 (13.3%)","7 (6.2%)","4 (10.3%)"
"Repatha","7 (4.6%)","0 (0%)","3 (6%)","0 (0%)","0 (0%)","0 (0%)","6 (4.2%)","0 (0%)","2 (2.6%)","5 (6.7%)","0 (0%)","3 (3.9%)","3 (8.6%)","1 (16.7%)","0 (0%)","1 (3.6%)","3 (10.7%)","3 (6.7%)","4 (3.6%)","3 (7.7%)"
"Praluent","20 (13.2%)","0 (0%)","8 (16%)","0 (0%)","1 (10%)","0 (0%)","19 (13.3%)","0 (0%)","10 (13.2%)","10 (13.3%)","2 (5.9%)","9 (11.8%)","7 (20%)","2 (33.3%)","3 (6.1%)","2 (7.1%)","5 (17.9%)","10 (22.2%)","12 (10.7%)","8 (20.5%)"
"Leqvio","28 (18.5%)","0 (0%)","5 (10%)","0 (0%)","1 (10%)","0 (0%)","22 (15.4%)","1 (12.5%)","14 (18.4%)","14 (18.7%)","4 (11.8%)","12 (15.8%)","10 (28.6%)","2 (33.3%)","5 (10.2%)","3 (10.7%)","3 (10.7%)","17 (37.8%)","20 (17.9%)","8 (20.5%)"
"Repatha","31 (20.5%)","0 (0%)","7 (14%)","0 (0%)","1 (10%)","0 (0%)","29 (20.3%)","0 (0%)","14 (18.4%)","17 (22.7%)","3 (8.8%)","16 (21.1%)","11 (31.4%)","1 (16.7%)","6 (12.2%)","5 (17.9%)","6 (21.4%)","14 (31.1%)","17 (15.2%)","14 (35.9%)"
"Praluent","42 (27.8%)","0 (0%)","10 (20%)","0 (0%)","2 (20%)","0 (0%)","39 (27.3%)","1 (12.5%)","20 (26.3%)","22 (29.3%)","5 (14.7%)","21 (27.6%)","14 (40%)","2 (33.3%)","7 (14.3%)","9 (32.1%)","7 (25%)","19 (42.2%)","22 (19.6%)","20 (51.3%)"
"Leqvio","50 (33.1%)","0 (0%)","11 (22%)","0 (0%)","2 (20%)","0 (0%)","45 (31.5%)","1 (12.5%)","26 (34.2%)","24 (32%)","6 (17.6%)","23 (30.3%)","17 (48.6%)","4 (66.7%)","10 (20.4%)","7 (25%)","7 (25%)","25 (55.6%)","32 (28.6%)","18 (46.2%)"
"Repatha","13 (8.6%)","0 (0%)","3 (6%)","0 (0%)","0 (0%)","0 (0%)","12 (8.4%)","0 (0%)","7 (9.2%)","6 (8%)","3 (8.8%)","5 (6.6%)","5 (14.3%)","0 (0%)","5 (10.2%)","1 (3.6%)","2 (7.1%)","5 (11.1%)","8 (7.1%)","5 (12.8%)"
"Praluent","21 (13.9%)","0 (0%)","7 (14%)","0 (0%)","1 (10%)","0 (0%)","19 (13.3%)","0 (0%)","12 (15.8%)","9 (12%)","4 (11.8%)","10 (13.2%)","6 (17.1%)","1 (16.7%)","7 (14.3%)","1 (3.6%)","3 (10.7%)","10 (22.2%)","14 (12.5%)","7 (17.9%)"
"Leqvio","19 (12.6%)","0 (0%)","6 (12%)","0 (0%)","1 (10%)","0 (0%)","18 (12.6%)","0 (0%)","11 (14.5%)","8 (10.7%)","3 (8.8%)","6 (7.9%)","8 (22.9%)","2 (33.3%)","4 (8.2%)","1 (3.6%)","4 (14.3%)","10 (22.2%)","13 (11.6%)","6 (15.4%)"
"Repatha","1 (0.7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (0.7%)","0 (0%)","1 (1.3%)","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","0 (0%)","0 (0%)","1 (3.6%)","0 (0%)","0 (0%)","1 (0.9%)","0 (0%)"
"Praluent","14 (9.3%)","0 (0%)","4 (8%)","0 (0%)","1 (10%)","0 (0%)","13 (9.1%)","1 (12.5%)","7 (9.2%)","7 (9.3%)","3 (8.8%)","6 (7.9%)","4 (11.4%)","1 (16.7%)","3 (6.1%)","2 (7.1%)","1 (3.6%)","8 (17.8%)","11 (9.8%)","3 (7.7%)"
"Leqvio","10 (6.6%)","0 (0%)","3 (6%)","0 (0%)","1 (10%)","0 (0%)","9 (6.3%)","0 (0%)","7 (9.2%)","3 (4%)","2 (5.9%)","4 (5.3%)","2 (5.7%)","2 (33.3%)","2 (4.1%)","1 (3.6%)","1 (3.6%)","6 (13.3%)","7 (6.2%)","3 (7.7%)"
