"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"TABLE: s1","","","","","","","","","","","","","","","","","","","",""
"I would like to proceed and protect my identity","33% (60)","36% (43)","32% (17)","0% (0)","0% (0)","0% (0)","31% (46)","58% (7)","38% (35)","28% (25)","23% (10)","37% (31)","39% (18)","13% (1)","29% (16)","46% (17)","28% (10)","35% (17)","36% (48)","26% (12)"
"I would like to proceed and give permission for my contact details to be passed on to the Drug Safety department of the company if an adverse event is mentioned by me during the survey","67% (120)","64% (77)","68% (36)","0% (0)","100% (5)","100% (2)","69% (104)","42% (5)","62% (56)","72% (64)","77% (33)","63% (52)","61% (28)","88% (7)","71% (40)","54% (20)","72% (26)","65% (32)","64% (85)","74% (35)"
"I don�t want to proceed","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s2b","","","","","","","","","","","","","","","","","","","",""
"Physician","93% (150)","89% (94)","100% (49)","0% (0)","100% (5)","100% (2)","100% (150)","0% (0)","94% (77)","91% (73)","88% (35)","94% (65)","93% (42)","100% (8)","92% (47)","85% (28)","94% (31)","98% (42)","91% (105)","98% (45)"
"Nurse Practitioner","3% (5)","5% (5)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","42% (5)","4% (3)","3% (2)","5% (2)","3% (2)","2% (1)","0% (0)","2% (1)","6% (2)","3% (1)","2% (1)","3% (4)","2% (1)"
"Physician�s Assistant","4% (7)","7% (7)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","58% (7)","2% (2)","6% (5)","8% (3)","3% (2)","4% (2)","0% (0)","6% (3)","9% (3)","3% (1)","0% (0)","6% (7)","0% (0)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s2","","","","","","","","","","","","","","","","","","","",""
"Cardiologist","63% (106)","98% (106)","0% (0)","0% (0)","0% (0)","0% (0)","63% (94)","0% (0)","85% (73)","40% (33)","79% (30)","58% (46)","58% (25)","63% (5)","87% (45)","66% (21)","0% (0)","81% (39)","74% (90)","35% (16)"
"Internal Medicine / General Practitioner / Primary Care / Family Practice","32% (53)","0% (0)","100% (53)","0% (0)","0% (0)","0% (0)","33% (49)","0% (0)","15% (13)","49% (40)","16% (6)","38% (30)","33% (14)","38% (3)","10% (5)","25% (8)","94% (32)","15% (7)","21% (26)","59% (27)"
"Nephrologist","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Endocrinologist","3% (5)","0% (0)","0% (0)","0% (0)","100% (5)","0% (0)","3% (5)","0% (0)","0% (0)","6% (5)","0% (0)","1% (1)","9% (4)","0% (0)","2% (1)","6% (2)","0% (0)","4% (2)","3% (4)","2% (1)"
"Lipidologist","1% (2)","0% (0)","0% (0)","0% (0)","0% (0)","100% (2)","1% (2)","0% (0)","0% (0)","2% (2)","3% (1)","1% (1)","0% (0)","0% (0)","0% (0)","0% (0)","6% (2)","0% (0)","0% (0)","4% (2)"
"Nurse Practitioner","1% (1)","1% (1)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","1% (1)","0% (0)","1% (1)","0% (0)","0% (0)","0% (0)","3% (1)","0% (0)","0% (0)","1% (1)","0% (0)"
"Physician�s Assistant","1% (1)","1% (1)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","1% (1)","3% (1)","0% (0)","0% (0)","0% (0)","2% (1)","0% (0)","0% (0)","0% (0)","1% (1)","0% (0)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s2a","","","","","","","","","","","","","","","","","","","",""
"Cardiologist","100% (14)","100% (14)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","100% (12)","100% (5)","100% (9)","100% (6)","100% (5)","100% (3)","0% (0)","100% (5)","100% (6)","100% (2)","100% (1)","100% (13)","100% (1)"
"Internal Medicine / General Practitioner / Primary Care / Family Practice","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qcard_specialty","","","","","","","","","","","","","","","","","","","",""
"CARD","94% (106)","100% (106)","0% (0)","0% (0)","0% (0)","0% (0)","93% (94)","0% (0)","100% (73)","83% (33)","97% (30)","96% (46)","86% (25)","100% (5)","98% (45)","91% (21)","0% (0)","95% (39)","96% (90)","84% (16)"
"NEPH/ENDO/LIP","6% (7)","0% (0)","0% (0)","0% (0)","100% (5)","100% (2)","7% (7)","0% (0)","0% (0)","18% (7)","3% (1)","4% (2)","14% (4)","0% (0)","2% (1)","9% (2)","100% (2)","5% (2)","4% (4)","16% (3)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qspecialty","","","","","","","","","","","","","","","","","","","",""
"CARD","63% (113)","88% (106)","0% (0)","0% (0)","100% (5)","100% (2)","67% (101)","0% (0)","80% (73)","45% (40)","72% (31)","58% (48)","63% (29)","63% (5)","82% (46)","62% (23)","6% (2)","84% (41)","71% (94)","40% (19)"
"PCP","29% (53)","0% (0)","100% (53)","0% (0)","0% (0)","0% (0)","33% (49)","0% (0)","14% (13)","45% (40)","14% (6)","36% (30)","30% (14)","38% (3)","9% (5)","22% (8)","89% (32)","14% (7)","20% (26)","57% (27)"
"NPPA","8% (14)","12% (14)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","100% (12)","5% (5)","10% (9)","14% (6)","6% (5)","7% (3)","0% (0)","9% (5)","16% (6)","6% (2)","2% (1)","10% (13)","2% (1)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s3a","","","","","","","","","","","","","","","","","","","",""
"Interventional Cardiologist","34% (36)","34% (36)","0% (0)","0% (0)","0% (0)","0% (0)","33% (31)","0% (0)","40% (29)","21% (7)","37% (11)","33% (15)","32% (8)","40% (2)","27% (12)","62% (13)","0% (0)","28% (11)","33% (30)","38% (6)"
"General Cardiologist","57% (60)","57% (60)","0% (0)","0% (0)","0% (0)","0% (0)","57% (54)","0% (0)","48% (35)","76% (25)","53% (16)","59% (27)","60% (15)","40% (2)","64% (29)","33% (7)","0% (0)","59% (23)","58% (52)","50% (8)"
"Preventative Cardiologist","9% (10)","9% (10)","0% (0)","0% (0)","0% (0)","0% (0)","10% (9)","0% (0)","12% (9)","3% (1)","10% (3)","9% (4)","8% (2)","20% (1)","9% (4)","5% (1)","0% (0)","13% (5)","9% (8)","13% (2)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qtype_of_card","","","","","","","","","","","","","","","","","","","",""
"Interventional Card","34% (36)","34% (36)","0% (0)","0% (0)","0% (0)","0% (0)","33% (31)","0% (0)","40% (29)","21% (7)","37% (11)","33% (15)","32% (8)","40% (2)","27% (12)","62% (13)","0% (0)","28% (11)","33% (30)","38% (6)"
"General Card","57% (60)","57% (60)","0% (0)","0% (0)","0% (0)","0% (0)","57% (54)","0% (0)","48% (35)","76% (25)","53% (16)","59% (27)","60% (15)","40% (2)","64% (29)","33% (7)","0% (0)","59% (23)","58% (52)","50% (8)"
"Preventative Card","9% (10)","9% (10)","0% (0)","0% (0)","0% (0)","0% (0)","10% (9)","0% (0)","12% (9)","3% (1)","10% (3)","9% (4)","8% (2)","20% (1)","9% (4)","5% (1)","0% (0)","13% (5)","9% (8)","13% (2)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qon_list_off_list","","","","","","","","","","","","","","","","","","","",""
"CARD ON-LIST","63% (113)","88% (106)","0% (0)","0% (0)","100% (5)","100% (2)","67% (101)","0% (0)","80% (73)","45% (40)","72% (31)","58% (48)","63% (29)","63% (5)","82% (46)","62% (23)","6% (2)","84% (41)","71% (94)","40% (19)"
"CARD OFF-LIST","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"PCP ON-LIST","29% (53)","0% (0)","100% (53)","0% (0)","0% (0)","0% (0)","33% (49)","0% (0)","14% (13)","45% (40)","14% (6)","36% (30)","30% (14)","38% (3)","9% (5)","22% (8)","89% (32)","14% (7)","20% (26)","57% (27)"
"PCP OFF-LIST","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"NPPA ON-LIST","8% (14)","12% (14)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","100% (12)","5% (5)","10% (9)","14% (6)","6% (5)","7% (3)","0% (0)","9% (5)","16% (6)","6% (2)","2% (1)","10% (13)","2% (1)"
"NPPA OFF-LIST","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qlist_tier","","","","","","","","","","","","","","","","","","","",""
"TIER 1","24% (43)","30% (36)","11% (6)","0% (0)","0% (0)","50% (1)","23% (35)","42% (5)","32% (29)","16% (14)","100% (43)","0% (0)","0% (0)","0% (0)","55% (31)","19% (7)","11% (4)","2% (1)","26% (35)","17% (8)"
"TIER 2","46% (83)","43% (51)","57% (30)","0% (0)","20% (1)","50% (1)","43% (65)","33% (4)","48% (44)","44% (39)","0% (0)","100% (83)","0% (0)","0% (0)","38% (21)","70% (26)","44% (16)","39% (19)","47% (62)","45% (21)"
"TIER 3","26% (46)","23% (28)","26% (14)","0% (0)","80% (4)","0% (0)","28% (42)","25% (3)","15% (14)","36% (32)","0% (0)","0% (0)","100% (46)","0% (0)","7% (4)","11% (4)","36% (13)","51% (25)","24% (32)","30% (14)"
"TIER 4","4% (8)","4% (5)","6% (3)","0% (0)","0% (0)","0% (0)","5% (8)","0% (0)","4% (4)","4% (4)","0% (0)","0% (0)","0% (0)","100% (8)","0% (0)","0% (0)","8% (3)","8% (4)","3% (4)","9% (4)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qlist_priority_account","","","","","","","","","","","","","","","","","","","",""
"PRIORITY","74% (133)","86% (103)","49% (26)","0% (0)","80% (4)","0% (0)","70% (105)","92% (11)","79% (72)","69% (61)","81% (35)","75% (62)","70% (32)","50% (4)","93% (52)","78% (29)","42% (15)","73% (36)","100% (133)","0% (0)"
"NOT PRIORITY","26% (47)","14% (17)","51% (27)","0% (0)","20% (1)","100% (2)","30% (45)","8% (1)","21% (19)","31% (28)","19% (8)","25% (21)","30% (14)","50% (4)","7% (4)","22% (8)","58% (21)","27% (13)","0% (0)","100% (47)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s4","","","","","","","","","","","","","","","","","","","",""
"Board Eligible","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Board Certified","100% (180)","100% (120)","100% (53)","0% (0)","100% (5)","100% (2)","100% (150)","100% (12)","100% (91)","100% (89)","100% (43)","100% (83)","100% (46)","100% (8)","100% (56)","100% (37)","100% (36)","100% (49)","100% (133)","100% (47)"
"Neither","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s6","","","","","","","","","","","","","","","","","","","",""
"20 or Less (Total)","59% (106)","68% (82)","42% (22)","0% (0)","40% (2)","0% (0)","56% (84)","83% (10)","64% (58)","54% (48)","51% (22)","59% (49)","63% (29)","75% (6)","48% (27)","70% (26)","36% (13)","78% (38)","62% (83)","49% (23)"
"  3 - 9","22% (39)","25% (30)","15% (8)","0% (0)","20% (1)","0% (0)","21% (31)","25% (3)","24% (22)","19% (17)","16% (7)","24% (20)","20% (9)","38% (3)","21% (12)","22% (8)","8% (3)","31% (15)","26% (34)","11% (5)"
"  10 - 20","37% (67)","43% (52)","26% (14)","0% (0)","20% (1)","0% (0)","35% (53)","58% (7)","40% (36)","35% (31)","35% (15)","35% (29)","43% (20)","38% (3)","27% (15)","49% (18)","28% (10)","47% (23)","37% (49)","38% (18)"
